,title,company,skills
0,استخدام کارشناس فناوری اطلاعات,کارگزاری بورس بیمه ایران,['Virtualization']
1,استخدام برنامه‌نویس پایتون,فراز اطلاعات دنیای ویرا,"['Python', 'JavaScript', 'Django', 'PostgreSQL', 'REST']"
2,استخدام برنامه‌نویس Back-end Java (مشهد),Intex,"['Java', 'Spring', 'Redis', 'NoSQL', 'Jackrabbit']"
3,استخدام توسعه‌دهنده بک اند,afagh nasim danesh,"['Python', 'Node.js', 'MongoDB', 'Postman']"
4,استخدام کارآموز برنامه‌نویسی Front-end (vue),نوادی,"['Vue.js', 'Tailwind CSS', 'JavaScript', 'Vuex', 'Vue Router']"
5,استخدام کارآموز برنامه‌نویسی فلاتر ( Flutter ),نوادی,"['Flutter', 'Dart', 'Bloc']"
6,استخدام برنامه‌نویس ارشد Back -End(دورکاری),پارس پک,"['MySQL', 'Laravel', 'PHP', 'Linux']"
7,استخدام کارشناس امنیت شبکه,جهان اطلاعات ایمن سرو,"['Python', 'Linux', 'Windows Server', 'Cisco', 'OWASP']"
8,استخدام مهندس ارشد نرم افزار,کاریابی بین المللی مهرکام,"['C++', 'Cad', 'C#', 'Front-end']"
9,استخدام برنامه‌نویس React.Js,شرکت اطلاع رسانی مهندسی پزشکی پرشیا شبکه,"['Material UI', 'React JSX', 'React Redux']"
10,استخدام برنامه‌نویس Front-end (TypeScript),شرکت اطلاع رسانی مهندسی پزشکی پرشیا شبکه,"['TypeScript', 'Polymer', 'Polymer 2.x']"
11,استخدام توسعه‌دهنده Back-end (رشت),NilaSoft,"['Spring Boot', 'Java', 'SQL', 'Kotlin']"
12,استخدام اسکرام مستر (Scrum Master),رایورز,"['Jira', 'Git', 'Azure DevOps']"
13,استخدام .NET Fullstack Developer,پویان سیستم یزد,"['ASP.NET Core', 'JavaScript', 'C#', 'HTML', 'CSS']"
14,استخدام برنامه‌نویس جاوا,شرکت داده پردازی ایران,['Java']
15,استخدام برنامه‌نویس node js,مدیکال استوز,"['Node.js', 'React', 'Git', 'React JSX']"
16,استخدام توسعه‌دهنده ارشد فرانت اند (React),موترک,"['JavaScript', 'React', 'TypeScript', 'Responsive Design', 'React Native Router Flux']"
17,استخدام توسعه‌دهنده ارشد PHP,موترک,"['PHP', 'Laravel', 'MySQL', 'Web API Testing']"
18,"استخدام توسعه‌دهنده وب(HTML, CSS, JS)",پرس‌لاین,"['CSS', 'HTML5', 'JavaScript']"
19,استخدام کارآموز سئو - SEO (اصفهان),کوچ لنسر,"['Web Analytics', 'Associative', 'Google Webmaster Tools']"
20,استخدام کارآموز برنامه‌نویسی بک اند (اصفهان),کوچ لنسر,"['PHP', 'MySQL', 'MongoDB']"
21,استخدام کارآموز برنامه‌نویسی فرانت اند (اصفهان),کوچ لنسر,"['React', 'HTML5', 'JavaScript', 'jQuery', 'CSS3']"
22,استخدام برنامه‌نویس و توسعه‌دهنده,سازه‌های هوشمند مبین طابران,"['Java', 'C#', 'MySQL', '.NET', 'Spring Boot']"
23,استخدام Senior Software Engineer(Django),بهترینو,"['Python', 'Django']"
24,استخدام Senior Front-end Developer,بهترینو,"['React', 'Next.js']"
25,استخدام Senior Front-end Developer,ویترین,"['React', 'Next.js', 'Redux']"
26,استخدام Senior Back-end Developer (Django),ویترین,"['Python', 'Django']"
27,استخدام توسعه‌دهنده Full Stack,کاریابی بین المللی مهرکام,"['Front-end', 'Back-end', 'React', 'Git', 'GitHub']"
28,استخدام کارشناس ارشد شبکه,سیمرا,['Cisco']
29,استخدام برنامه‌نویس C# Windows,افراپویش تیام,"['C#', 'SQL Server', 'Object Oriented', 'Stimulsoft']"
30,استخدام برنامه‌نویس ارشد Back-end,لامینگو,"['C#', '.NET', 'SQL']"
31,استخدام کارشناس تست نرم افزار,رایورز,"['JavaScript', 'HTML', 'CSS']"
32,استخدام کارآموز برنامه‌نویسی بک اند ( Laravel ),نوادی,"['PHP', 'Laravel', 'MySQL', 'Linux', 'Docker']"
33,استخدام توسعه‌دهنده Full Stack,بایوآرک,"['PHP', 'Yii', 'WebSocket']"
34,استخدام توسعه‌دهنده Full-Stack,کاریابی بین المللی مهرکام,"['Java', 'Azure', 'JavaScript', '.NET']"
35,استخدام توسعه‌دهنده Python,کاریابی بین المللی مهرکام,['Python']
36,استخدام توسعه‌دهنده Front-end,کاریابی بین المللی مهرکام,"['Front-end', 'JavaScript', 'Linux', 'Back-end']"
37,استخدام کارآموز برنامه‌نویس .NET (آقا),داده پردازان کوشای پاسارگاد (دانش بنیان),"['ASP.NET', 'SQL Server', 'C#', 'HTML', 'jQuery']"
38,استخدام مالک محصول,پردازش اطلاعات شتاب,"['Agile', 'Scrum']"
39,استخدام توسعه‌دهنده Full-Stack (Java),کاریابی بین المللی مهرکام,"['Java', 'JavaScript', 'SQL', '.NET', 'GraphQL']"
40,استخدام کارشناس سیستم,کاریابی بین المللی مهرکام,"['Azure', 'vSphere', 'Lan']"
41,استخدام توسعه‌دهنده Front-end,کاریابی بین المللی مهرکام,"['Front-end', 'JavaScript', 'HTML', 'CSS']"
42,استخدام توسعه‌دهنده Python,کاریابی بین المللی مهرکام,['Python']
43,استخدام توسعه‌دهنده C++,کاریابی بین المللی مهرکام,['C++']
44,استخدام توسعه‌دهنده Net,کاریابی بین المللی مهرکام,"['C#', '.NET', 'JavaScript', 'Ccsprite']"
45,استخدام Back-end Node.js توسعه‌دهنده,ZiTRON,"['Node.js', 'MySQL', 'Git', 'Express', 'RESTful URL']"
